,start,end
audio1.wav,210,219
audio11.wav,34,53
audio11.wav,60,69
audio11.wav,268,278
audio12.wav,57,74
audio1210.wav,95,125
audio1210.wav,130,154
audio1210.wav,161,170
audio1210.wav,234,245
audio1217.wav,159,168
audio1217.wav,241,251
audio1217.wav,258,272
audio1226.wav,20,33
audio1227.wav,18,27
audio1227.wav,71,82
audio1227.wav,95,111
audio13.wav,143,152
audio1514.wav,55,64
audio1516.wav,68,80
audio1516.wav,232,241
audio2.wav,34,49
audio2.wav,69,80
audio2.wav,130,161
audio2.wav,220,241
audio302.wav,42,60
audio302.wav,72,150
audio302.wav,153,181
audio302.wav,274,284
audio307.wav,96,105
audio308.wav,84,111
audio309.wav,104,114
audio311.wav,0,22
audio311.wav,33,44
audio311.wav,236,246
audio312.wav,59,70
audio312.wav,152,176
audio313.wav,5,14
audio313.wav,24,40
audio313.wav,54,63
audio313.wav,72,88
audio313.wav,180,201
audio313.wav,204,217
audio314.wav,3,17
audio314.wav,47,57
audio314.wav,79,100
audio314.wav,104,126
audio314.wav,192,235
audio314.wav,240,271
audio324.wav,55,77
audio324.wav,109,119
audio324.wav,177,186
audio324.wav,193,202
audio324.wav,213,230
audio329.wav,92,103
audio331.wav,186,202
audio332.wav,240,254
audio336.wav,167,209
audio336.wav,212,221
audio336.wav,227,238
audio337.wav,180,207
audio337.wav,216,230
audio337.wav,234,256
audio339.wav,138,151
audio341.wav,203,220
audio341.wav,225,246
audio342.wav,37,51
audio342.wav,55,71
audio342.wav,76,118
audio342.wav,167,178
audio342.wav,272,283
audio351.wav,63,80
audio354.wav,77,89
audio354.wav,98,115
audio354.wav,141,154
audio354.wav,163,173
audio354.wav,176,205
audio354.wav,283,296
audio360.wav,55,73
audio360.wav,104,116
audio361.wav,39,57
audio361.wav,64,85
audio361.wav,87,101
audio361.wav,128,137
audio361.wav,167,184
audio361.wav,191,296
audio362.wav,107,121
audio363.wav,0,57
audio363.wav,61,76
audio363.wav,90,104
audio363.wav,126,186
audio363.wav,190,202
audio364.wav,0,23
audio364.wav,101,137
audio364.wav,167,176
audio364.wav,250,261
audio366.wav,0,60
audio366.wav,113,145
audio371.wav,213,223
audio372.wav,13,23
audio372.wav,71,94
audio372.wav,99,130
audio372.wav,189,199
audio372.wav,240,258
audio378.wav,0,11
audio378.wav,88,97
audio378.wav,165,192
audio378.wav,260,271
audio379.wav,90,100
audio379.wav,116,138
audio379.wav,155,178
audio379.wav,192,205
audio379.wav,240,294
audio380.wav,13,31
audio380.wav,43,60
audio380.wav,70,85
audio380.wav,93,102
audio380.wav,143,161
audio380.wav,234,251
audio380.wav,265,283
audio381.wav,256,270
audio382.wav,53,75
audio382.wav,81,94
audio382.wav,107,118
audio382.wav,144,160
audio382.wav,172,198
audio382.wav,232,254
audio383.wav,0,79
audio383.wav,116,134
audio383.wav,154,168
audio383.wav,252,278
audio384.wav,56,66
audio384.wav,78,100
audio384.wav,245,265
audio385.wav,0,15
audio385.wav,26,64
audio385.wav,124,134
audio385.wav,278,295
audio386.wav,74,91
audio386.wav,146,168
audio386.wav,177,221
audio386.wav,264,295
audio4.wav,49,128
audio4.wav,231,269
audio403.wav,133,173
audio406.wav,20,31
audio406.wav,131,140
audio407.wav,0,20
audio407.wav,24,43
audio407.wav,48,60
audio407.wav,99,116
audio407.wav,121,131
audio407.wav,136,152
audio407.wav,165,180
audio407.wav,186,217
audio407.wav,222,258
audio407.wav,269,288
audio408.wav,5,17
audio408.wav,38,52
audio408.wav,56,103
audio408.wav,124,149
audio408.wav,154,215
audio408.wav,220,241
audio409.wav,46,60
audio409.wav,111,126
audio409.wav,162,180
audio409.wav,185,201
audio410.wav,31,115
audio410.wav,122,143
audio410.wav,158,169
audio410.wav,184,196
audio410.wav,205,231
audio410.wav,237,260
audio410.wav,285,296
audio411.wav,23,32
audio411.wav,43,58
audio411.wav,82,91
audio411.wav,172,182
audio411.wav,231,240
audio411.wav,260,276
audio412.wav,106,121
audio412.wav,161,171
audio412.wav,228,238
audio413.wav,7,25
audio413.wav,36,54
audio413.wav,75,89
audio413.wav,95,122
audio413.wav,128,152
audio413.wav,158,173
audio413.wav,183,217
audio413.wav,221,251
audio414.wav,0,30
audio414.wav,56,72
audio414.wav,103,116
audio414.wav,123,143
audio414.wav,211,236
audio414.wav,240,253
audio415.wav,26,36
audio415.wav,45,56
audio415.wav,190,204
audio421.wav,82,93
audio422.wav,281,291
audio424.wav,176,193
audio424.wav,218,228
audio425.wav,80,92
audio425.wav,125,139
audio425.wav,220,230
audio427.wav,83,103
audio427.wav,118,130
audio427.wav,172,182
audio428.wav,80,92
audio430.wav,93,103
audio430.wav,187,196
audio430.wav,230,244
audio431.wav,58,71
audio431.wav,83,100
audio431.wav,106,116
audio431.wav,233,244
audio432.wav,0,12
audio432.wav,80,90
audio432.wav,94,115
audio432.wav,118,135
audio432.wav,138,150
audio432.wav,155,164
audio432.wav,269,290
audio433.wav,138,148
audio433.wav,152,173
audio433.wav,201,217
audio434.wav,0,38
audio434.wav,43,62
audio434.wav,67,76
audio434.wav,81,95
audio434.wav,99,108
audio434.wav,121,166
audio435.wav,4,18
audio436.wav,36,45
audio436.wav,110,141
audio436.wav,144,167
audio436.wav,172,214
audio436.wav,221,251
audio437.wav,84,96
audio437.wav,183,205
audio437.wav,245,262
audio438.wav,151,166
audio438.wav,170,184
audio438.wav,194,213
audio438.wav,218,241
audio438.wav,269,282
audio445.wav,204,218
audio445.wav,285,295
audio447.wav,196,206
audio449.wav,173,183
audio450.wav,33,42
audio450.wav,116,126
audio452.wav,35,48
audio452.wav,234,246
